,product,uf,volume,year_month,unit
0,GASOLINA C (m3),RONDÔNIA,136073.25300000003,2000-01-01,m3
1,GASOLINA C (m3),ACRE,3358.346,2000-01-01,m3
2,GASOLINA C (m3),AMAZONAS,20766.918,2000-01-01,m3
3,GASOLINA C (m3),RORAIMA,3716.032,2000-01-01,m3
4,GASOLINA C (m3),PARÁ,29755.907,2000-01-01,m3
5,GASOLINA C (m3),AMAPÁ,4096.7,2000-01-01,m3
6,GASOLINA C (m3),TOCANTINS,8046.45,2000-01-01,m3
7,GASOLINA C (m3),MARANHÃO,19185.495,2000-01-01,m3
8,GASOLINA C (m3),PIAUÍ,9638.45,2000-01-01,m3
9,GASOLINA C (m3),CEARÁ,36847.944,2000-01-01,m3
10,GASOLINA C (m3),RIO GRANDE DO NORTE,17949.95,2000-01-01,m3
11,GASOLINA C (m3),PARAÍBA,20266.851,2000-01-01,m3
12,GASOLINA C (m3),PERNAMBUCO,51905.707,2000-01-01,m3
13,GASOLINA C (m3),ALAGOAS,164548.30899999995,2000-01-01,m3
14,GASOLINA C (m3),SERGIPE,12707.571,2000-01-01,m3
15,GASOLINA C (m3),BAHIA,73630.193,2000-01-01,m3
16,GASOLINA C (m3),MINAS GERAIS,197289.3,2000-01-01,m3
17,GASOLINA C (m3),ESPÍRITO SANTO,34425.525,2000-01-01,m3
18,GASOLINA C (m3),RIO DE JANEIRO,162775.786,2000-01-01,m3
19,GASOLINA C (m3),SÃO PAULO,575302.161,2000-01-01,m3
20,GASOLINA C (m3),PARANÁ,141272.276,2000-01-01,m3
21,GASOLINA C (m3),SANTA CATARINA,84778.684,2000-01-01,m3
22,GASOLINA C (m3),RIO GRANDE DO SUL,160079.439,2000-01-01,m3
23,GASOLINA C (m3),MATO GROSSO DO SUL,21692.937,2000-01-01,m3
24,GASOLINA C (m3),MATO GROSSO,23245.28,2000-01-01,m3
25,GASOLINA C (m3),GOIÁS,58254.692,2000-01-01,m3
26,GASOLINA C (m3),DISTRITO FEDERAL,593389.679,2000-01-01,m3
27,GASOLINA C (m3),RONDÔNIA,10500.844,2001-01-01,m3
28,GASOLINA C (m3),ACRE,3345.625,2001-01-01,m3
29,GASOLINA C (m3),AMAZONAS,22763.56,2001-01-01,m3
30,GASOLINA C (m3),RORAIMA,3111.004,2001-01-01,m3
31,GASOLINA C (m3),PARÁ,35388.101,2001-01-01,m3
32,GASOLINA C (m3),AMAPÁ,3861.75,2001-01-01,m3
33,GASOLINA C (m3),TOCANTINS,8425.556,2001-01-01,m3
34,GASOLINA C (m3),MARANHÃO,17102.723,2001-01-01,m3
35,GASOLINA C (m3),PIAUÍ,10160.891,2001-01-01,m3
36,GASOLINA C (m3),CEARÁ,37412.089,2001-01-01,m3
37,GASOLINA C (m3),RIO GRANDE DO NORTE,17288.335,2001-01-01,m3
38,GASOLINA C (m3),PARAÍBA,18375.675,2001-01-01,m3
39,GASOLINA C (m3),PERNAMBUCO,579786.235,2001-01-01,m3
40,GASOLINA C (m3),ALAGOAS,13568.178,2001-01-01,m3
41,GASOLINA C (m3),SERGIPE,11668.753,2001-01-01,m3
42,GASOLINA C (m3),BAHIA,74123.351,2001-01-01,m3
43,GASOLINA C (m3),MINAS GERAIS,184219.455,2001-01-01,m3
44,GASOLINA C (m3),ESPÍRITO SANTO,36569.244,2001-01-01,m3
45,GASOLINA C (m3),RIO DE JANEIRO,146681.188,2001-01-01,m3
46,GASOLINA C (m3),SÃO PAULO,660289.834,2001-01-01,m3
47,GASOLINA C (m3),PARANÁ,123959.254,2001-01-01,m3
48,GASOLINA C (m3),SANTA CATARINA,89426.347,2001-01-01,m3
49,GASOLINA C (m3),RIO GRANDE DO SUL,159952.898,2001-01-01,m3
50,GASOLINA C (m3),MATO GROSSO DO SUL,20968.944,2001-01-01,m3
51,GASOLINA C (m3),MATO GROSSO,32030.24,2001-01-01,m3
52,GASOLINA C (m3),GOIÁS,720199.9099999999,2001-01-01,m3
53,GASOLINA C (m3),DISTRITO FEDERAL,50948.911,2001-01-01,m3
54,GASOLINA C (m3),RONDÔNIA,10469.805,2002-01-01,m3
55,GASOLINA C (m3),ACRE,4451.197,2002-01-01,m3
56,GASOLINA C (m3),AMAZONAS,22331.224,2002-01-01,m3
57,GASOLINA C (m3),RORAIMA,4735.0,2002-01-01,m3
58,GASOLINA C (m3),PARÁ,28452.295,2002-01-01,m3
59,GASOLINA C (m3),AMAPÁ,3848.1,2002-01-01,m3
60,GASOLINA C (m3),TOCANTINS,8494.098,2002-01-01,m3
61,GASOLINA C (m3),MARANHÃO,20639.569,2002-01-01,m3
62,GASOLINA C (m3),PIAUÍ,11344.116,2002-01-01,m3
63,GASOLINA C (m3),CEARÁ,37094.959,2002-01-01,m3
64,GASOLINA C (m3),RIO GRANDE DO NORTE,20353.694,2002-01-01,m3
65,GASOLINA C (m3),PARAÍBA,240567.715,2002-01-01,m3
66,GASOLINA C (m3),PERNAMBUCO,52880.459,2002-01-01,m3
67,GASOLINA C (m3),ALAGOAS,13044.657,2002-01-01,m3
68,GASOLINA C (m3),SERGIPE,14221.868,2002-01-01,m3
69,GASOLINA C (m3),BAHIA,70736.967,2002-01-01,m3
70,GASOLINA C (m3),MINAS GERAIS,197349.903,2002-01-01,m3
71,GASOLINA C (m3),ESPÍRITO SANTO,33972.952,2002-01-01,m3
72,GASOLINA C (m3),RIO DE JANEIRO,151016.755,2002-01-01,m3
73,GASOLINA C (m3),SÃO PAULO,627378.926,2002-01-01,m3
74,GASOLINA C (m3),PARANÁ,119121.519,2002-01-01,m3
75,GASOLINA C (m3),SANTA CATARINA,93629.204,2002-01-01,m3
76,GASOLINA C (m3),RIO GRANDE DO SUL,152856.056,2002-01-01,m3
77,GASOLINA C (m3),MATO GROSSO DO SUL,25173.493,2002-01-01,m3
78,GASOLINA C (m3),MATO GROSSO,325636.2540000001,2002-01-01,m3
79,GASOLINA C (m3),GOIÁS,67844.61,2002-01-01,m3
80,GASOLINA C (m3),DISTRITO FEDERAL,54537.718,2002-01-01,m3
81,GASOLINA C (m3),RONDÔNIA,12687.923,2003-01-01,m3
82,GASOLINA C (m3),ACRE,3963.002,2003-01-01,m3
83,GASOLINA C (m3),AMAZONAS,23330.35,2003-01-01,m3
84,GASOLINA C (m3),RORAIMA,4258.399,2003-01-01,m3
85,GASOLINA C (m3),PARÁ,28451.245,2003-01-01,m3
86,GASOLINA C (m3),AMAPÁ,4286.4,2003-01-01,m3
87,GASOLINA C (m3),TOCANTINS,7281.356,2003-01-01,m3
88,GASOLINA C (m3),MARANHÃO,16326.714,2003-01-01,m3
89,GASOLINA C (m3),PIAUÍ,10191.948,2003-01-01,m3
90,GASOLINA C (m3),CEARÁ,42444.828,2003-01-01,m3
91,GASOLINA C (m3),RIO GRANDE DO NORTE,218671.982,2003-01-01,m3
92,GASOLINA C (m3),PARAÍBA,25145.413,2003-01-01,m3
93,GASOLINA C (m3),PERNAMBUCO,48933.414,2003-01-01,m3
94,GASOLINA C (m3),ALAGOAS,14358.817,2003-01-01,m3
95,GASOLINA C (m3),SERGIPE,12697.061,2003-01-01,m3
96,GASOLINA C (m3),BAHIA,71467.643,2003-01-01,m3
97,GASOLINA C (m3),MINAS GERAIS,198950.87,2003-01-01,m3
98,GASOLINA C (m3),ESPÍRITO SANTO,32276.46,2003-01-01,m3
99,GASOLINA C (m3),RIO DE JANEIRO,151298.069,2003-01-01,m3
100,GASOLINA C (m3),SÃO PAULO,532955.359,2003-01-01,m3
101,GASOLINA C (m3),PARANÁ,106600.294,2003-01-01,m3
102,GASOLINA C (m3),SANTA CATARINA,92750.8,2003-01-01,m3
103,GASOLINA C (m3),RIO GRANDE DO SUL,156967.464,2003-01-01,m3
104,GASOLINA C (m3),MATO GROSSO DO SUL,302352.311,2003-01-01,m3
105,GASOLINA C (m3),MATO GROSSO,31900.431,2003-01-01,m3
106,GASOLINA C (m3),GOIÁS,67421.569,2003-01-01,m3
107,GASOLINA C (m3),DISTRITO FEDERAL,59741.044,2003-01-01,m3
108,GASOLINA C (m3),RONDÔNIA,15013.158,2004-01-01,m3
109,GASOLINA C (m3),ACRE,4362.524,2004-01-01,m3
110,GASOLINA C (m3),AMAZONAS,25590.409,2004-01-01,m3
111,GASOLINA C (m3),RORAIMA,3713.6,2004-01-01,m3
112,GASOLINA C (m3),PARÁ,29107.775,2004-01-01,m3
113,GASOLINA C (m3),AMAPÁ,4844.4,2004-01-01,m3
114,GASOLINA C (m3),TOCANTINS,9700.949,2004-01-01,m3
115,GASOLINA C (m3),MARANHÃO,18983.836,2004-01-01,m3
116,GASOLINA C (m3),PIAUÍ,13207.436,2004-01-01,m3
117,GASOLINA C (m3),CEARÁ,503268.744,2004-01-01,m3
118,GASOLINA C (m3),RIO GRANDE DO NORTE,24192.259,2004-01-01,m3
119,GASOLINA C (m3),PARAÍBA,22355.233,2004-01-01,m3
120,GASOLINA C (m3),PERNAMBUCO,55188.112,2004-01-01,m3
121,GASOLINA C (m3),ALAGOAS,15094.35,2004-01-01,m3
122,GASOLINA C (m3),SERGIPE,13473.737,2004-01-01,m3
123,GASOLINA C (m3),BAHIA,81976.188,2004-01-01,m3
124,GASOLINA C (m3),MINAS GERAIS,200467.832,2004-01-01,m3
125,GASOLINA C (m3),ESPÍRITO SANTO,30255.883,2004-01-01,m3
126,GASOLINA C (m3),RIO DE JANEIRO,157165.784,2004-01-01,m3
127,GASOLINA C (m3),SÃO PAULO,590699.89,2004-01-01,m3
128,GASOLINA C (m3),PARANÁ,119383.604,2004-01-01,m3
129,GASOLINA C (m3),SANTA CATARINA,114036.549,2004-01-01,m3
130,GASOLINA C (m3),RIO GRANDE DO SUL,1964302.4759999996,2004-01-01,m3
131,GASOLINA C (m3),MATO GROSSO DO SUL,31147.641,2004-01-01,m3
132,GASOLINA C (m3),MATO GROSSO,31258.547,2004-01-01,m3
133,GASOLINA C (m3),GOIÁS,74040.858,2004-01-01,m3
134,GASOLINA C (m3),DISTRITO FEDERAL,61216.579,2004-01-01,m3
135,GASOLINA C (m3),RONDÔNIA,15862.505,2005-01-01,m3
136,GASOLINA C (m3),ACRE,4356.252,2005-01-01,m3
137,GASOLINA C (m3),AMAZONAS,20474.571,2005-01-01,m3
138,GASOLINA C (m3),RORAIMA,3580.1,2005-01-01,m3
139,GASOLINA C (m3),PARÁ,31598.509,2005-01-01,m3
140,GASOLINA C (m3),AMAPÁ,4870.05,2005-01-01,m3
141,GASOLINA C (m3),TOCANTINS,8933.688,2005-01-01,m3
142,GASOLINA C (m3),MARANHÃO,23351.776,2005-01-01,m3
143,GASOLINA C (m3),PIAUÍ,173735.648,2005-01-01,m3
144,GASOLINA C (m3),CEARÁ,49862.67,2005-01-01,m3
145,GASOLINA C (m3),RIO GRANDE DO NORTE,21087.66,2005-01-01,m3
146,GASOLINA C (m3),PARAÍBA,20989.708,2005-01-01,m3
147,GASOLINA C (m3),PERNAMBUCO,51558.509,2005-01-01,m3
148,GASOLINA C (m3),ALAGOAS,14056.401,2005-01-01,m3
149,GASOLINA C (m3),SERGIPE,12749.764,2005-01-01,m3
150,GASOLINA C (m3),BAHIA,84169.179,2005-01-01,m3
151,GASOLINA C (m3),MINAS GERAIS,213884.224,2005-01-01,m3
152,GASOLINA C (m3),ESPÍRITO SANTO,34831.938,2005-01-01,m3
153,GASOLINA C (m3),RIO DE JANEIRO,154521.498,2005-01-01,m3
154,GASOLINA C (m3),SÃO PAULO,540210.582,2005-01-01,m3
155,GASOLINA C (m3),PARANÁ,127580.029,2005-01-01,m3
156,GASOLINA C (m3),SANTA CATARINA,1353068.925,2005-01-01,m3
157,GASOLINA C (m3),RIO GRANDE DO SUL,184473.192,2005-01-01,m3
158,GASOLINA C (m3),MATO GROSSO DO SUL,25448.105,2005-01-01,m3
159,GASOLINA C (m3),MATO GROSSO,29564.915,2005-01-01,m3
160,GASOLINA C (m3),GOIÁS,76927.935,2005-01-01,m3
161,GASOLINA C (m3),DISTRITO FEDERAL,63588.64,2005-01-01,m3
162,GASOLINA C (m3),RONDÔNIA,15637.411,2006-01-01,m3
163,GASOLINA C (m3),ACRE,4312.826,2006-01-01,m3
164,GASOLINA C (m3),AMAZONAS,27765.021,2006-01-01,m3
165,GASOLINA C (m3),RORAIMA,3713.0,2006-01-01,m3
166,GASOLINA C (m3),PARÁ,34543.228,2006-01-01,m3
167,GASOLINA C (m3),AMAPÁ,4563.634,2006-01-01,m3
168,GASOLINA C (m3),TOCANTINS,9274.168,2006-01-01,m3
169,GASOLINA C (m3),MARANHÃO,306351.738,2006-01-01,m3
170,GASOLINA C (m3),PIAUÍ,19309.941,2006-01-01,m3
171,GASOLINA C (m3),CEARÁ,44867.955,2006-01-01,m3
172,GASOLINA C (m3),RIO GRANDE DO NORTE,23560.661,2006-01-01,m3
173,GASOLINA C (m3),PARAÍBA,24829.84,2006-01-01,m3
174,GASOLINA C (m3),PERNAMBUCO,56263.791,2006-01-01,m3
175,GASOLINA C (m3),ALAGOAS,13172.839,2006-01-01,m3
