,product,uf,volume,year_month,unit
0,ÓLEO DIESEL S-10 (m3),RONDÔNIA,81453.67,2013-01-01,m3
1,ÓLEO DIESEL S-10 (m3),ACRE,1483.0,2013-01-01,m3
2,ÓLEO DIESEL S-10 (m3),AMAZONAS,6836.3,2013-01-01,m3
3,ÓLEO DIESEL S-10 (m3),RORAIMA,1475.3,2013-01-01,m3
4,ÓLEO DIESEL S-10 (m3),PARÁ,40913.48,2013-01-01,m3
5,ÓLEO DIESEL S-10 (m3),AMAPÁ,683.948,2013-01-01,m3
6,ÓLEO DIESEL S-10 (m3),TOCANTINS,11771.7,2013-01-01,m3
7,ÓLEO DIESEL S-10 (m3),MARANHÃO,12974.0,2013-01-01,m3
8,ÓLEO DIESEL S-10 (m3),PIAUÍ,6373.25,2013-01-01,m3
9,ÓLEO DIESEL S-10 (m3),CEARÁ,47724.922,2013-01-01,m3
10,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO NORTE,3025.55,2013-01-01,m3
11,ÓLEO DIESEL S-10 (m3),PARAÍBA,2964.5,2013-01-01,m3
12,ÓLEO DIESEL S-10 (m3),PERNAMBUCO,94832.55,2013-01-01,m3
13,ÓLEO DIESEL S-10 (m3),ALAGOAS,58801.636999999995,2013-01-01,m3
14,ÓLEO DIESEL S-10 (m3),SERGIPE,9882.4,2013-01-01,m3
15,ÓLEO DIESEL S-10 (m3),BAHIA,55057.999,2013-01-01,m3
16,ÓLEO DIESEL S-10 (m3),MINAS GERAIS,102297.806,2013-01-01,m3
17,ÓLEO DIESEL S-10 (m3),ESPÍRITO SANTO,13020.0,2013-01-01,m3
18,ÓLEO DIESEL S-10 (m3),RIO DE JANEIRO,92614.39,2013-01-01,m3
19,ÓLEO DIESEL S-10 (m3),SÃO PAULO,235476.41,2013-01-01,m3
20,ÓLEO DIESEL S-10 (m3),PARANÁ,54564.884,2013-01-01,m3
21,ÓLEO DIESEL S-10 (m3),SANTA CATARINA,31415.778,2013-01-01,m3
22,ÓLEO DIESEL S-10 (m3),RIO GRANDE DO SUL,36805.532,2013-01-01,m3
23,ÓLEO DIESEL S-10 (m3),MATO GROSSO DO SUL,10515.1,2013-01-01,m3
24,ÓLEO DIESEL S-10 (m3),MATO GROSSO,15429.153,2013-01-01,m3
25,ÓLEO DIESEL S-10 (m3),GOIÁS,14061.55,2013-01-01,m3
26,ÓLEO DIESEL S-10 (m3),DISTRITO FEDERAL,66012.73,2013-01-01,m3
27,ÓLEO DIESEL S-500 (m3),RONDÔNIA,0.0,2013-01-01,m3
28,ÓLEO DIESEL S-500 (m3),ACRE,0.0,2013-01-01,m3
29,ÓLEO DIESEL S-500 (m3),AMAZONAS,541.0,2013-01-01,m3
30,ÓLEO DIESEL S-500 (m3),RORAIMA,0.0,2013-01-01,m3
31,ÓLEO DIESEL S-500 (m3),PARÁ,2056.0,2013-01-01,m3
32,ÓLEO DIESEL S-500 (m3),AMAPÁ,0.0,2013-01-01,m3
33,ÓLEO DIESEL S-500 (m3),TOCANTINS,2330.5,2013-01-01,m3
34,ÓLEO DIESEL S-500 (m3),MARANHÃO,69684.071,2013-01-01,m3
35,ÓLEO DIESEL S-500 (m3),PIAUÍ,39924.95,2013-01-01,m3
36,ÓLEO DIESEL S-500 (m3),CEARÁ,2053.5,2013-01-01,m3
37,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO NORTE,1022.55,2013-01-01,m3
38,ÓLEO DIESEL S-500 (m3),PARAÍBA,38591.16,2013-01-01,m3
39,ÓLEO DIESEL S-500 (m3),PERNAMBUCO,749045.37,2013-01-01,m3
40,ÓLEO DIESEL S-500 (m3),ALAGOAS,32434.0,2013-01-01,m3
41,ÓLEO DIESEL S-500 (m3),SERGIPE,23705.3,2013-01-01,m3
42,ÓLEO DIESEL S-500 (m3),BAHIA,240737.51,2013-01-01,m3
43,ÓLEO DIESEL S-500 (m3),MINAS GERAIS,220656.52,2013-01-01,m3
44,ÓLEO DIESEL S-500 (m3),ESPÍRITO SANTO,88926.941,2013-01-01,m3
45,ÓLEO DIESEL S-500 (m3),RIO DE JANEIRO,82454.598,2013-01-01,m3
46,ÓLEO DIESEL S-500 (m3),SÃO PAULO,628861.003,2013-01-01,m3
47,ÓLEO DIESEL S-500 (m3),PARANÁ,341786.96,2013-01-01,m3
48,ÓLEO DIESEL S-500 (m3),SANTA CATARINA,108014.698,2013-01-01,m3
49,ÓLEO DIESEL S-500 (m3),RIO GRANDE DO SUL,92444.418,2013-01-01,m3
50,ÓLEO DIESEL S-500 (m3),MATO GROSSO DO SUL,5890.73,2013-01-01,m3
51,ÓLEO DIESEL S-500 (m3),MATO GROSSO,981.225,2013-01-01,m3
